user id : [502], type : [Приобрел товар], product item : [item3], time : [2021-10-07 21:35:38]
user id : [502], type : [Использовал товар], product item : [item3], time : [2021-10-07 21:35:43]
user id : [502], type : [Приобрел товар], product item : [item4], time : [2021-10-07 21:35:46]
user id : [502], type : [Использовал товар], product item : [item4], time : [2021-10-07 21:35:51]
user id : [502], type : [Приобрел товар], product item : [item4], time : [2021-10-07 21:35:53]
user id : [502], type : [Использовал товар], product item : [item4], time : [2021-10-07 21:35:57]
user id : [502], type : [Приобрел товар], product item : [item3], time : [2021-10-07 21:36:00]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-07 21:39:25]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-07 21:39:29]
user id : [492], type : [Приобрел товар], product item : [item4], time : [2021-10-07 21:39:31]
user id : [492], type : [Использовал товар], product item : [item4], time : [2021-10-07 21:39:35]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-07 21:39:38]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-07 21:39:46]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-07 21:50:13]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-07 21:50:18]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-07 23:25:25]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-07 23:26:10]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-07 23:37:42]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:48:16]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:48:30]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:48:30]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:48:30]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:49:21]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:49:21]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:49:21]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:49:27]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:49:35]
user id : [492], type : [Приобрел товар], product item : [item4], time : [2021-10-08 00:49:42]
user id : [492], type : [Использовал товар], product item : [item4], time : [2021-10-08 00:49:52]
user id : [492], type : [Приобрел товар], product item : [item4], time : [2021-10-08 00:49:52]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:50:18]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:50:42]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:50:42]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:52:27]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:52:34]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:52:43]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:52:47]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:52:54]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:52:54]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:53:01]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:53:10]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:53:10]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:53:10]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:53:10]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:53:10]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:54:45]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:54:50]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:54:53]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:54:53]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:54:53]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:54:53]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:54:59]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:55:08]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:55:13]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:55:22]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:55:31]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:55:46]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:55:57]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:56:21]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:56:21]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:56:21]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:58:18]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:58:28]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:58:28]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:58:28]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:58:28]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:58:39]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:58:39]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:58:39]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:58:39]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:59:59]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 00:59:59]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 00:59:59]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:01:12]
