user id : [492], type : [Выполнил задание], task item : [item2], time : [2021-10-08 00:09:20]
user id : [492], type : [Выполнил задание], task item : [item3], time : [2021-10-08 00:13:57]
user id : [426], type : [Выполнил задание], task item : [item2], time : [2021-10-08 00:47:46]
user id : [426], type : [Выполнил задание], task item : [item3], time : [2021-10-08 00:47:55]
user id : [492], type : [Выполнил задание], task item : [item3], time : [2021-10-08 11:28:52]
user id : [611], type : [Выполнил задание], task item : [item3], time : [2021-10-08 12:07:53]
user id : [205], type : [Выполнил задание], task item : [item2], time : [2021-10-08 14:20:20]
user id : [205], type : [Выполнил задание], task item : [item3], time : [2021-10-08 14:20:32]
user id : [621], type : [Выполнил задание], task item : [item2], time : [2021-10-08 15:48:26]
user id : [611], type : [Выполнил задание], task item : [item2], time : [2021-10-08 15:48:52]
user id : [621], type : [Выполнил задание], task item : [item3], time : [2021-10-08 15:48:53]
